topo,seed,flowNum,cc,randOffset,slots,multiFactor,state,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil
fat,104,10,hpccPint,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000,1,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,104,10,hpccPint,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,105,16,h,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,100,1,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000,1,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,105,16,h,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,106,16,p,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,100,1,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000,1,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,106,16,p,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,107,16,c,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,100,1,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000,1,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,107,16,c,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,108,16,c,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,100,1,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000,1,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,108,16,c,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,109,16,P,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,100,1,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000,1,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,109,16,P,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,110,16,i,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,100,1,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000,1,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,110,16,i,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,111,16,n,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,100,1,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000,1,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,111,16,n,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,112,16,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,112,16,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,113,128,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,100,0.5,-1,-1,-1,-1,-1,-1
