353,8,51506,0
353,8,323483,1
353,5,51491,0
353,5,324403,1
352,8,80800,0
352,8,310305,1
352,5,61685,0
352,5,352585,1
352,6,59065,0
352,6,355745,1
352,7,49726,0
352,7,419465,1
355,6,64540,0
355,6,311843,1
355,5,49274,0
355,5,455103,1
355,8,47562,0
355,8,454963,1
355,7,46343,0
355,7,479923,1
354,6,69612,0
354,6,202617,1
354,7,58553,0
354,7,274797,1
354,8,52828,0
354,8,345437,1
332,19,32997,0
332,19,33984201,1
332,17,32985,0
332,17,34202242,1
332,20,32983,0
332,20,34307735,1
332,18,32983,0
332,18,33982375,1
332,18,33984117,0
332,18,33985280,1
