state,topo,seed,flowNum,cc,randOffset,algo,params,maxFctNs,avgFctNs,mkspanJobNs,mkspanAllNs,dropPkts,linkUtil,runtimeS
1,fat,642,32,dctcp,0,-1,-1.0,1261542530,1218039463.34375,1224759441 1206388306 1261542575 1230317696 1235925625 1252662982 1249650600 1235312075,1261542582,-1,-1,1388.46
1,fat,643,32,dctcp,0,-1,-1.0,1268464923,1220888499.5625,1224167437 1238287401 1259419596 1229732514 1249789768 1268464960 1246953543 1219203593,1268464982,-1,-1,1453.09
1,fat,644,32,dctcp,0,-1,-1.0,1263731994,1223465889.625,1233721474 1263732048 1225135458 1232777220 1232981031 1212511711 1258843939 1249991478,1263732054,-1,-1,1440.74
1,fat,645,32,dctcp,1,bstSltNumLnspdSlt,,1327939287,1101180957.59375,1156327604 1180801287 1160323427 1215983981 1216311707 1218396085 1146412158 1169184061,1218396129,-1,-1,1179.7
1,fat,646,32,dctcp,1,bstSltNumLnspdSlt,,1260163689,1083984405.9375,1089592181 1196135863 1160604891 1230489799 1186722579 1067731545 1083918778 1155163765,1231135903,-1,-1,1180.84
1,fat,647,32,dctcp,1,bstSltNumLnspdSlt,,1260141992,1061456866.125,1204889273 1209189431 1210789090 1209832200 1202845568 1106925546 1044446762 1119142066,1211925581,-1,-1,1015.52
1,fat,648,32,timely,0,-1,-1.0,1176573869,1166513193.9375,1175027746 1169935814 1174018745 1171116998 1176573869 1172422147 1173764172 1173228366,1176573889,-1,-1,1074.02
1,fat,649,32,timely,0,-1,-1.0,1176629301,1163675898.9375,1171061372 1173886060 1174402637 1176629301 1169854472 1169852893 1175326493 1173511671,1176629336,-1,-1,1084.76
1,fat,650,32,timely,0,-1,-1.0,1176558956,1162900046.8125,1174853057 1174469653 1176558994 1173903451 1173916169 1171172293 1174799758 1172248965,1176559011,-1,-1,1073.34
1,fat,651,32,timely,1,bstSltNumLnspdSlt,,1259347358,1101249601.9375,1163207451 1171447907 1177736762 1143290601 1142541429 1177867840 1103299697 1001296198,1178290650,-1,-1,1062.3
1,fat,652,32,timely,1,bstSltNumLnspdSlt,,1230479493,1087031394.84375,1038874422 1166259156 1175834293 1097759276 1176273768 1141106597 1169510135 1177091962,1179874503,-1,-1,1042.43
1,fat,653,32,timely,1,bstSltNumLnspdSlt,,1233462565,1100917235.90625,1178828489 1170698135 1166990785 1105294582 1173871445 1167640348 1167831263 1154222629,1178828536,-1,-1,1073.67
1,fat,654,32,hpccPint,0,-1,-1.0,1243504083,1242413516.9375,1243330200 1243504087 1243306686 1243437190 1243245490 1243196644 1243147074 1242684420,1243504124,-1,-1,1059.85
1,fat,655,32,hpccPint,0,-1,-1.0,1243537275,1242481597.5625,1242803564 1243429051 1242731648 1243507085 1243443535 1243475882 1243495173 1243537275,1243537275,-1,-1,1078.54
1,fat,656,32,hpccPint,0,-1,-1.0,1243558703,1242272098.65625,1243135589 1242652469 1243051730 1243309792 1243558781 1243170675 1243538413 1243456362,1243558781,-1,-1,1063.27
1,fat,657,32,hpccPint,1,bstSltNumLnspdSlt,,1326506388,1159256911.0,1211595679 1209808412 1209919497 1231939861 1197107762 1244695775 1238397305 1244869739,1244919549,-1,-1,1075.2
1,fat,658,32,hpccPint,1,bstSltNumLnspdSlt,,1301227937,1143584069.375,1245147262 1239716379 1205807729 1210130586 1140081654 1174953105 1218807099 1197039328,1245147268,-1,-1,1075.14
1,fat,659,32,hpccPint,1,bstSltNumLnspdSlt,,1315278053,1147555766.71875,1210215458 1244811854 1225819133 1205152018 1140050834 1205385054 1210011194 1169757702,1245050899,-1,-1,1088.82
1,fat,660,64,dcqcn,0,-1,-1.0,2352668488,2341962492.8125,2350147274 2346392323 2351869847 2347907737 2350203455 2347684382 2350662665 2350158639 2350851179 2346874978 2345820434 2347318911 2346195279 2352668526 2349842586 2350727271,2352668548,-1,-1,3135.9
0,fat,661,64,dcqcn,0,-1,-1.0,-1,-1.0,-1,-1,-1,-1,-1.0
1,fat,662,64,dcqcn,0,-1,-1.0,2352295342,2341621211.171875,2350486774 2349482404 2334661671 2351057140 2347724306 2352295388 2346899396 2347422290 2349430156 2350488112 2350082365 2350812005 2348621108 2347117763 2348745488 2350620908,2352295417,-1,-1,2110.08
1,fat,663,64,dcqcn,1,bstSltNumLnspdSlt,,2457153485,2131666679.140625,2346723653 2246501439 2218716350 2208474910 2262912668 2205026682 2175929510 2094949394 2307633483 2301900501 2273496949 2258545650 2070237517 2141572829 2139377495 2346548920,2353572838,-1,-1,2071.09
1,fat,664,64,dcqcn,1,bstSltNumLnspdSlt,,2469826057,2144785965.71875,2355292178 2351130940 2317035671 2176056216 2280571250 2278194964 2215705334 2257231952 2239699241 2279034523 2349889381 2237262830 2294384711 2280372699 2241841074 2285971906,2355292269,-1,-1,2088.67
1,fat,665,64,dcqcn,1,bstSltNumLnspdSlt,,2496917577,2182144790.40625,2247279182 2305781044 2281392662 2209715174 2291040689 2309729932 2183536900 2291302648 2211419947 2210347370 2282268658 2228694276 2190168693 2297526301 2195928242 2335030138,2353279180,-1,-1,2111.53
1,fat,666,64,hp,0,-1,-1.0,2352509803,2342516435.90625,2350258656 2348603380 2350756520 2346537163 2349217700 2348525040 2351818767 2352509874 2345952493 2347999443 2348669767 2352413762 2350890322 2349737446 2347605435 2345462411,2352509886,-1,-1,2086.67
1,fat,667,64,hp,0,-1,-1.0,2353984936,2343226167.15625,2352049287 2350936264 2352698531 2346444488 2348039093 2353984990 2352114018 2350630085 2343947040 2349911496 2350812569 2347637297 2348397623 2342689608 2351855357 2350166609,2353985029,-1,-1,2069.89
1,fat,668,64,hp,0,-1,-1.0,2354031606,2343122748.046875,2348814445 2347824797 2351656689 2351440860 2345037738 2348837868 2347494221 2349876979 2346321974 2351591914 2351790944 2354031639 2352785517 2350923628 2350781561 2350769469,2354031640,-1,-1,2130.41
1,fat,669,64,hp,1,bstSltNumLnspdSlt,,2475671182,2150686429.296875,2174303775 2200372163 2198809157 2254431430 2238816108 2239477772 2318099251 2141531499 2302930669 2213311065 2280204094 2234361384 2310325968 2301040988 2318540435 2348094296,2354311068,-1,-1,2112.22
1,fat,670,64,hp,1,bstSltNumLnspdSlt,,2523228954,2186921436.65625,2241100712 2282264007 2348774892 2320349317 2240788983 2297558534 2235423452 2313742494 2320048176 2216291048 2172692845 2198434010 2268759632 2336325568 2242006505 2315425355,2357291086,-1,-1,2096.12
1,fat,671,64,hp,1,bstSltNumLnspdSlt,,2486329258,2154175373.859375,2167026451 2309046814 2143120087 2069769565 2241117980 2172434351 2353660371 2273076798 2280460911 2173725747 2176023742 2156828557 2208927923 2271013719 2173929023 2339846329,2355120102,-1,-1,2060.45
1,fat,672,64,dctcp,0,-1,-1.0,2453607558,2443756228.390625,2451447361 2453352013 2452715444 2451933949 2450432453 2453607611 2451165836 2449870787 2451185775 2453285770 2451742579 2453067803 2449042206 2453373698 2448396949 2452797045,2453607653,-1,-1,1951.75
1,fat,673,64,dctcp,0,-1,-1.0,2453996456,2443436226.828125,2451289400 2452081879 2453996456 2449445415 2447347508 2449661338 2451633386 2453379107 2451311231 2453801861 2451767733 2447508330 2453120568 2453655494 2453106523 2448281196,2453996458,-1,-1,1977.39
1,fat,674,64,dctcp,0,-1,-1.0,2455112969,2444843500.1875,2453039519 2452964398 2455113011 2446259520 2453286286 2452492148 2452416626 2451222272 2452221225 2453463786 2452314737 2454248847 2453300506 2452604818 2452425375 2452417117,2455113028,-1,-1,1964.3
