332,18,35092312,0
332,18,35998556,1
332,18,105142322,0
332,18,105396768,1
332,18,176043924,0
332,18,176924659,1
332,18,177641007,0
332,18,177716396,1
332,19,35064811,0
332,19,35850152,1
332,19,70058911,0
332,19,70873823,1
332,19,105122024,0
332,19,105537453,1
332,20,35034154,0
332,20,36271460,1
332,20,36731781,0
332,20,36985758,1
332,20,70052588,0
332,20,71056257,1
332,20,71538001,0
332,20,71789479,1
332,17,98459,0
332,17,242962,1
332,17,35409670,0
332,17,35785163,1
332,17,70058908,0
332,17,70915074,1
332,17,71573619,0
332,17,71676765,1
332,17,105044389,0
332,17,105784793,1
332,17,141144662,0
332,17,141258729,1
332,17,176041863,0
332,17,177042768,1
