353,5,51492,0
353,5,324405,1
353,8,51488,0
353,8,323405,1
352,8,80801,0
352,8,310228,1
352,5,61688,0
352,5,352548,1
352,6,59068,0
352,6,355508,1
352,7,49730,0
352,7,419548,1
355,6,64539,0
355,6,309948,1
355,5,49276,0
355,5,454808,1
355,8,47561,0
355,8,454288,1
355,7,46348,0
355,7,480008,1
354,6,69614,0
354,6,202615,1
354,7,58555,0
354,7,274815,1
354,8,52830,0
354,8,345575,1
332,19,32995,0
332,19,34466599,1
332,17,32988,0
332,17,34683644,1
332,20,32988,0
332,20,34788639,1
332,18,32985,0
332,18,34466018,1
