src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b000f01,10000,100,442622950,0,71986695,37113668,71986695
0b000201,0b000f01,10000,100,442622950,0,74886354,37113668,74886354
