src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b000f01,10000,100,442622950,0,76996021,37113668,76996021
0b000201,0b000f01,10000,100,442622950,0,78172466,37113668,78172466
