src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000901,0b001801,10000,100,442622950,4000000,36745838,37117708,40745838
0b000201,0b001801,10000,100,442622950,41000000,42373440,37117708,83373440
0b000701,0b001801,10000,100,442622950,75000000,218041406,37117708,293041406
0b000801,0b001801,10000,100,442622950,75000000,241002659,37117708,316002659
0b000301,0b001801,10000,100,442622950,88000000,244211871,37117708,332211871
0b000001,0b001801,10000,100,442622950,96000000,247029444,37117708,343029444
0b000401,0b001801,10000,100,442622950,108000000,247337933,37117708,355337933
0b000501,0b001801,10000,100,442622950,128000000,238123243,37117708,366123243
0b000601,0b001801,10000,100,442622950,144000000,228144411,37117708,372144411
0b000101,0b001801,10000,100,442622950,173000000,203245641,37117708,376245641
