src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000301,0b001801,10000,100,442622950,0,36745838,37117708,36745838
0b000501,0b001801,10000,100,442622950,79000000,60434125,37117708,139434125
0b000401,0b001801,10000,100,442622950,95000000,95455145,37117708,190455145
0b000601,0b001801,10000,100,442622950,132000000,103721209,37117708,235721209
0b000101,0b001801,10000,100,442622950,169000000,94348207,37117708,263348207
0b000801,0b001801,10000,100,442622950,159000000,106518780,37117708,265518780
0b000001,0b001801,10000,100,442622950,286000000,36745838,37117708,322745838
0b000901,0b001801,10000,100,442622950,361000000,36745838,37117708,397745838
0b000701,0b001801,10000,100,442622950,493000000,73065471,37117708,566065471
0b000201,0b001801,10000,100,442622950,493000000,75050883,37117708,568050883
