src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000701,0b00cb01,10000,100,442518303,70000017,859534190,894534190,37112977,929534207
0b001e01,0b00cb01,10000,100,442825002,70000095,868884684,1079884684,37138692,938884779
0b001401,0b00cb01,10000,100,442973506,176000046,914400595,1055400595,37151140,1090400641
0b000801,0b00cb01,10000,100,441908201,176000017,916209838,951209838,37061826,1092209855
0b000501,0b00cb01,10000,100,441896576,176000014,925620120,925620120,37060850,1101620134
0b000901,0b00cb01,10000,100,442850231,176000017,929274118,964274118,37140806,1105274135
0b001801,0b00cb01,10000,100,442791930,141000057,965317732,1141317732,37135915,1106317789
0b000101,0b00cb01,10000,100,442299518,176000002,931638987,931638987,37094633,1107638989
0b001501,0b00cb01,10000,100,443143842,141000050,971244205,1112244205,37165420,1112244255
0b000e01,0b00cb01,10000,100,442727168,141000034,974190036,1079190036,37130488,1115190070
0b001c01,0b00cb01,10000,100,441749666,141000078,974892869,1150892869,37048533,1115892947
0b000d01,0b00cb01,10000,100,441610566,141000032,975615682,1080615682,37036871,1116615714
0b000c01,0b00cb01,10000,100,442429273,141000026,975863219,1045863219,37105513,1116863245
0b000301,0b00cb01,10000,100,442448053,141000003,977262590,977262590,37107088,1118262593
0b001b01,0b00cb01,10000,100,441910758,141000066,979388547,1155388547,37062038,1120388613
0b001d01,0b00cb01,10000,100,441800063,83,1121636644,1332636644,37052760,1121636727
0b001a01,0b00cb01,10000,100,443033490,60,1121990235,1297990235,37156169,1121990295
0b001901,0b00cb01,10000,100,442251144,57,1127345771,1303345771,37090579,1127345828
0b001301,0b00cb01,10000,100,444188902,46,1132603907,1273603907,37253037,1132603953
0b001f01,0b00cb01,10000,100,442572752,99,1133776593,1344776593,37117540,1133776692
0b000a01,0b00cb01,10000,100,441988043,26,1135381550,1170381550,37068521,1135381576
0b000601,0b00cb01,10000,100,442751047,15,1138127689,1138127689,37132491,1138127704
0b000f01,0b00cb01,10000,100,442444248,35000036,1140861770,1245861770,37106768,1175861806
0b001001,0b00cb01,10000,100,442579512,35000041,1141271583,1282271583,37118108,1176271624
0b001601,0b00cb01,10000,100,442496649,35000053,1141767232,1282767232,37111160,1176767285
0b001701,0b00cb01,10000,100,442369121,35000057,1143581156,1284581156,37100470,1178581213
0b000201,0b00cb01,10000,100,442055212,105000002,1101557134,1101557134,37074152,1206557136
0b000401,0b00cb01,10000,100,442117240,105000011,1102792276,1102792276,37079352,1207792287
0b000001,0b00cb01,10000,100,443416361,105000000,1103683122,1103683122,37188270,1208683122
0b001101,0b00cb01,10000,100,442776184,211000044,1009438772,1150438772,37134598,1220438816
0b000b01,0b00cb01,10000,100,441813827,211000026,1012519313,1082519313,37053911,1223519339
0b001201,0b00cb01,10000,100,443686486,211000046,1014374770,1155374770,37210916,1225374816
