src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000401,0b001801,10000,100,442622950,12000000,149900875,37117708,161900875
0b000301,0b001801,10000,100,442622950,21000000,231787413,37117708,252787413
0b000901,0b001801,10000,100,442622950,31000000,228893223,37117708,259893223
0b000201,0b001801,10000,100,442622950,60000000,273445893,37117708,333445893
0b000801,0b001801,10000,100,442622950,70000000,284536244,37117708,354536244
0b000101,0b001801,10000,100,442622950,68000000,289909533,37117708,357909533
0b000501,0b001801,10000,100,442622950,83000000,276800195,37117708,359800195
0b000001,0b001801,10000,100,442622950,128000000,255174324,37117708,383174324
0b000701,0b001801,10000,100,442622950,161000000,222942780,37117708,383942780
0b000601,0b001801,10000,100,442622950,137000000,247087320,37117708,384087320
