src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,0,36745838,37117708,36745838
0b000401,0b001801,10000,100,442622950,74000000,36745838,37117708,110745838
0b000601,0b001801,10000,100,442622950,201000000,36745838,37117708,237745838
0b000301,0b001801,10000,100,442622950,244000000,95250705,37117708,339250705
0b000801,0b001801,10000,100,442622950,244000000,97391376,37117708,341391376
0b000001,0b001801,10000,100,442622950,276000000,82714771,37117708,358714771
0b000901,0b001801,10000,100,442622950,377000000,36745838,37117708,413745838
0b000501,0b001801,10000,100,442622950,414000000,36745838,37117708,450745838
0b000101,0b001801,10000,100,442622950,467000000,36745838,37117708,503745838
0b000701,0b001801,10000,100,442622950,525000000,36745838,37117708,561745838
