src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000601,0b00cb01,10000,100,442518303,42,301967988,336967988,37112977,301968030
0b000201,0b00cb01,10000,100,443686486,22,303166404,338166404,37210916,303166426
0b000101,0b00cb01,10000,100,441610566,35000020,487964814,487964814,37036871,522964834
0b000b01,0b00cb01,10000,100,442850231,35000079,495137388,600137388,37140806,530137467
0b000901,0b00cb01,10000,100,443033490,35000054,506232315,576232315,37156169,541232369
0b000c01,0b00cb01,10000,100,442429273,35000080,507758186,612758186,37105513,542758266
0b000f01,0b00cb01,10000,100,442825002,35000094,519335431,624335431,37138692,554335525
0b000401,0b00cb01,10000,100,441910758,70000036,487410787,522410787,37062038,557410823
0b000801,0b00cb01,10000,100,442791930,70000045,501399473,571399473,37135915,571399518
0b000a01,0b00cb01,10000,100,441813827,70000066,502814590,572814590,37053911,572814656
0b000e01,0b00cb01,10000,100,442572752,70000087,503284938,608284938,37117540,573285025
0b000701,0b00cb01,10000,100,442299518,105000043,479400194,549400194,37094633,584400237
0b000d01,0b00cb01,10000,100,442369121,105000087,480648751,585648751,37100470,585648838
0b000501,0b00cb01,10000,100,442496649,105000041,485162120,520162120,37111160,590162161
0b000301,0b00cb01,10000,100,442579512,105000022,486857807,521857807,37118108,591857829
0b000001,0b00cb01,10000,100,442727168,105000015,488697335,488697335,37130488,593697350
