src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,47000000,58118228,37117708,105118228
0b000801,0b001801,10000,100,442622950,77000000,280007515,37117708,357007515
0b000401,0b001801,10000,100,442622950,85000000,299238513,37117708,384238513
0b000001,0b001801,10000,100,442622950,93000000,306691250,37117708,399691250
0b000601,0b001801,10000,100,442622950,103000000,304868958,37117708,407868958
0b000901,0b001801,10000,100,442622950,101000000,308965464,37117708,409965464
0b000501,0b001801,10000,100,442622950,118000000,302923402,37117708,420923402
0b000301,0b001801,10000,100,442622950,146000000,287722336,37117708,433722336
0b000101,0b001801,10000,100,442622950,155000000,282138846,37117708,437138846
0b000701,0b001801,10000,100,442622950,162000000,275538473,37117708,437538473
