src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,15000000,244707346,37117708,259707346
0b000201,0b001801,10000,100,442622950,15000000,253203475,37117708,268203475
0b000501,0b001801,10000,100,442622950,26000000,276414912,37117708,302414912
0b000301,0b001801,10000,100,442622950,44000000,296358467,37117708,340358467
0b000701,0b001801,10000,100,442622950,43000000,316446165,37117708,359446165
0b000401,0b001801,10000,100,442622950,69000000,311306774,37117708,380306774
0b000001,0b001801,10000,100,442622950,104000000,277418638,37117708,381418638
0b000601,0b001801,10000,100,442622950,88000000,293592187,37117708,381592187
0b000901,0b001801,10000,100,442622950,96000000,290641720,37117708,386641720
0b000801,0b001801,10000,100,442622950,98000000,289143810,37117708,387143810
