src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,18000000,72195443,37117708,90195443
0b000201,0b001801,10000,100,442622950,29000000,108132584,37117708,137132584
0b000301,0b001801,10000,100,442622950,75000000,131680176,37117708,206680176
0b000001,0b001801,10000,100,442622950,88000000,131640084,37117708,219640084
0b000401,0b001801,10000,100,442622950,100000000,125642095,37117708,225642095
0b000701,0b001801,10000,100,442622950,189000000,65947336,37117708,254947336
0b000501,0b001801,10000,100,442622950,249000000,66919026,37117708,315919026
0b000801,0b001801,10000,100,442622950,267000000,63146108,37117708,330146108
0b000901,0b001801,10000,100,442622950,337000000,39148569,37117708,376148569
0b000601,0b001801,10000,100,442622950,378000000,39153551,37117708,417153551
