src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000801,0b001801,10000,100,442622950,55000000,223142783,37117708,278142783
0b000601,0b001801,10000,100,442622950,60000000,261904031,37117708,321904031
0b000701,0b001801,10000,100,442622950,66000000,269894384,37117708,335894384
0b000201,0b001801,10000,100,442622950,93000000,303580298,37117708,396580298
0b000301,0b001801,10000,100,442622950,115000000,313329528,37117708,428329528
0b000401,0b001801,10000,100,442622950,113000000,316354998,37117708,429354998
0b000101,0b001801,10000,100,442622950,113000000,317155328,37117708,430155328
0b000901,0b001801,10000,100,442622950,125000000,308644314,37117708,433644314
0b000001,0b001801,10000,100,442622950,174000000,271412885,37117708,445412885
0b000501,0b001801,10000,100,442622950,176000000,269431177,37117708,445431177
