src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,63000000,37799500,37117708,100799500
0b000901,0b001801,10000,100,442622950,99000000,76303124,37117708,175303124
0b000601,0b001801,10000,100,442622950,108000000,69373341,37117708,177373341
0b000501,0b001801,10000,100,442622950,200000000,36745838,37117708,236745838
0b000001,0b001801,10000,100,442622950,277000000,180914515,37117708,457914515
0b000201,0b001801,10000,100,442622950,318000000,145971148,37117708,463971148
0b000801,0b001801,10000,100,442622950,319000000,145373104,37117708,464373104
0b000301,0b001801,10000,100,442622950,276000000,223854882,37117708,499854882
0b000701,0b001801,10000,100,442622950,271000000,250759033,37117708,521759033
0b000401,0b001801,10000,100,442622950,272000000,253462995,37117708,525462995
