src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,79000000,36745838,37117708,115745838
0b000901,0b001801,10000,100,442622950,217000000,46134408,37117708,263134408
0b000501,0b001801,10000,100,442622950,254000000,88000136,37117708,342000136
0b000801,0b001801,10000,100,442622950,249000000,100513791,37117708,349513791
0b000301,0b001801,10000,100,442622950,302000000,147746441,37117708,449746441
0b000701,0b001801,10000,100,442622950,334000000,118403469,37117708,452403469
0b000401,0b001801,10000,100,442622950,350000000,117193548,37117708,467193548
0b000101,0b001801,10000,100,442622950,371000000,127964294,37117708,498964294
0b000601,0b001801,10000,100,442622950,472000000,54042375,37117708,526042375
0b000001,0b001801,10000,100,442622950,525000000,40902690,37117708,565902690
