state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil,runtimeS
1,fat,103,10,timely,1,100.0,1.0,264586706,215688708.4,372235190,-1,-1,1179.01
1,fat,103,10,timely,1,100.0,1.5,286083627,250858328.1,372059090,-1,-1,1181.23
1,fat,103,10,timely,1,1000.0,0.2,269080148,230612274.9,372596682,-1,-1,1004.63
1,fat,103,10,timely,1,1000.0,0.5,289909533,246047780.0,372087320,-1,-1,1196.36
1,fat,103,10,timely,1,1000.0,0.7,247337933,194625588.6,372245641,-1,-1,1044.18
1,fat,103,10,timely,1,1000.0,1.0,281160902,227699010.2,372854032,-1,-1,1010.99
1,fat,103,10,timely,1,1000.0,1.5,285230434,238226495.1,372152290,-1,-1,1189.14
1,fat,103,10,timely,1,1000000.0,0.2,259690233,234628143.5,372891324,-1,-1,1095.83
1,fat,103,10,timely,1,1000000.0,0.5,292438122,248084652.4,372998634,-1,-1,1109.39
1,fat,103,10,timely,1,1000000.0,0.7,316446165,284923349.4,372143810,-1,-1,1059.77
1,fat,103,10,timely,1,1000000.0,1.0,315175266,284519198.2,372254610,-1,-1,1203.31
1,fat,103,10,timely,1,1000000.0,1.5,291977484,248845359.8,373347019,-1,-1,1027.11
1,fat,104,10,hpccPint,0,-1.0,-1.0,390552587,389836985.9,390552587,-1,-1,1184.74
1,fat,104,10,hpccPint,1,100.0,0.2,272997069,237054150.0,390451003,-1,-1,1009.45
1,fat,104,10,hpccPint,1,100.0,0.5,273684674,222643711.0,390443370,-1,-1,1196.83
1,fat,104,10,hpccPint,1,100.0,0.7,269160252,228137375.4,390433085,-1,-1,1129.3
1,fat,104,10,hpccPint,1,100.0,1.0,308965464,270621298.5,390538473,-1,-1,1215.49
1,fat,104,10,hpccPint,1,100.0,1.5,320084986,287861203.1,390474148,-1,-1,1167.26
1,fat,104,10,hpccPint,1,1000.0,0.2,302955708,264267112.1,390508989,-1,-1,1140.49
1,fat,104,10,hpccPint,1,1000.0,0.5,317155328,285484972.6,390431177,-1,-1,1069.85
1,fat,104,10,hpccPint,1,1000.0,0.7,190173077,135925851.3,391253652,-1,-1,1237.05
1,fat,104,10,hpccPint,1,1000.0,1.0,105619129,75083770.3,567181293,-1,-1,1173.65
1,fat,104,10,hpccPint,1,1000.0,1.5,131680176,84360497.2,399153551,-1,-1,1204.58
1,fat,104,10,hpccPint,1,1000000.0,0.2,80913538,55753867.0,498240330,-1,-1,1048.46
1,fat,104,10,hpccPint,1,1000000.0,0.5,113357286,92449122.6,502153551,-1,-1,1020.89
1,fat,104,10,hpccPint,1,1000000.0,0.7,178056929,115164920.5,515089554,-1,-1,1016.34
1,fat,104,10,hpccPint,1,1000000.0,1.0,135664838,90308129.0,602168072,-1,-1,1301.47
1,fat,104,10,hpccPint,1,1000000.0,1.5,345101947,248802062.0,772661601,-1,-1,1613.03
1,fat,105,16,dcqcn,0,-1.0,-1.0,590756391,579355478.5625,590756391,-1,-1,338.47
1,fat,105,16,dcqcn,1,100.0,0.2,550619526,517113526.0,591699050,-1,-1,343.61
-1,fat,105,16,dcqcn,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,105,16,dcqcn,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,106,16,hp,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,107,16,dctcp,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,108,16,timely,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
