src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,27000000,36745838,37117708,63745838
0b000401,0b001801,10000,100,442622950,86000000,80711224,37117708,166711224
0b000301,0b001801,10000,100,442622950,135000000,110235517,37117708,245235517
0b000501,0b001801,10000,100,442622950,114000000,134278396,37117708,248278396
0b000201,0b001801,10000,100,442622950,179000000,137660353,37117708,316660353
0b000701,0b001801,10000,100,442622950,110000000,225953468,37117708,335953468
0b000601,0b001801,10000,100,442622950,260000000,127208560,37117708,387208560
0b000801,0b001801,10000,100,442622950,299000000,96278837,37117708,395278837
0b000101,0b001801,10000,100,442622950,255000000,183255155,37117708,438255155
0b000901,0b001801,10000,100,442622950,347000000,99520578,37117708,446520578
