src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,55000000,36745838,37117708,91745838
0b000501,0b001801,10000,100,442622950,196000000,56020420,37117708,252020420
0b000801,0b001801,10000,100,442622950,255000000,82158610,37117708,337158610
0b000201,0b001801,10000,100,442622950,234000000,124357191,37117708,358357191
0b000601,0b001801,10000,100,442622950,222000000,160863989,37117708,382863989
0b000901,0b001801,10000,100,442622950,351000000,72937118,37117708,423937118
0b000301,0b001801,10000,100,442622950,345000000,171424869,37117708,516424869
0b000001,0b001801,10000,100,442622950,344000000,202797209,37117708,546797209
0b000701,0b001801,10000,100,442622950,344000000,203548708,37117708,547548708
0b000401,0b001801,10000,100,442622950,343000000,210819120,37117708,553819120
