src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000601,0b001801,10000,100,442622950,7000000,39666358,37117708,46666358
0b000301,0b001801,10000,100,442622950,41000000,178408365,37117708,219408365
0b000801,0b001801,10000,100,442622950,55000000,258311318,37117708,313311318
0b000701,0b001801,10000,100,442622950,61000000,261171170,37117708,322171170
0b000001,0b001801,10000,100,442622950,61000000,281160902,37117708,342160902
0b000401,0b001801,10000,100,442622950,78000000,270144289,37117708,348144289
0b000101,0b001801,10000,100,442622950,95000000,270388114,37117708,365388114
0b000901,0b001801,10000,100,442622950,117000000,256508697,37117708,373508697
0b000201,0b001801,10000,100,442622950,132000000,243376857,37117708,375376857
0b000501,0b001801,10000,100,442622950,162000000,217854032,37117708,379854032
