src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b002f01,0b00cb01,10000,100,442086526,64,2122847550,2122847550,37076776,2122847614
0b002201,0b00cb01,10000,100,441749666,38,2374446145,2374446145,37048533,2374446183
0b001001,0b00cb01,10000,100,442945507,17,2401884282,2401884282,37148793,2401884299
0b002c01,0b00cb01,10000,100,442817923,60,2431452808,2431452808,37138094,2431452868
0b001101,0b00cb01,10000,100,442369121,18,2432402715,2432402715,37100470,2432402733
0b003b01,0b00cb01,10000,100,441813827,88,2433309410,2433309410,37053911,2433309498
0b001201,0b00cb01,10000,100,442543046,19,2436863760,2436863760,37115052,2436863779
0b002a01,0b00cb01,10000,100,442791930,56,2437293291,2437293291,37135915,2437293347
0b002b01,0b00cb01,10000,100,442973506,56,2437363138,2437363138,37151140,2437363194
0b003d01,0b00cb01,10000,100,442487955,97,2437730820,2437730820,37110430,2437730917
0b001801,0b00cb01,10000,100,442751047,26,2437747498,2437747498,37132491,2437747524
0b003801,0b00cb01,10000,100,442510405,83,2439202761,2439202761,37112314,2439202844
0b000501,0b00cb01,10000,100,443033490,9,2440510689,2440510689,37156169,2440510698
0b000601,0b00cb01,10000,100,442438326,10,2441118538,2441118538,37106271,2441118548
0b001901,0b00cb01,10000,100,442270374,27,2441409220,2441409220,37092190,2441409247
0b003001,0b00cb01,10000,100,442299518,66,2441592490,2441592490,37094633,2441592556
0b000101,0b00cb01,10000,100,442413823,5,2441801992,2441801992,37104215,2441801997
0b000201,0b00cb01,10000,100,442570820,6,2441813099,2441813099,37117378,2441813105
0b000301,0b00cb01,10000,100,443214934,8,2442229586,2442229586,37171380,2442229594
0b003a01,0b00cb01,10000,100,443416361,88,2442373128,2442373128,37188270,2442373216
0b001f01,0b00cb01,10000,100,441988043,34,2443181411,2443181411,37068521,2443181445
0b003201,0b00cb01,10000,100,442448053,66,2443211610,2443211610,37107088,2443211676
0b000d01,0b00cb01,10000,100,442251144,16,2443686269,2443686269,37090579,2443686285
0b001c01,0b00cb01,10000,100,442429273,29,2443978441,2443978441,37105513,2443978470
0b000a01,0b00cb01,10000,100,443065239,13,2444515655,2444515655,37158832,2444515668
0b003501,0b00cb01,10000,100,441908201,73,2445158186,2445158186,37061826,2445158259
0b003601,0b00cb01,10000,100,442591048,76,2445663747,2445663747,37119077,2445663823
0b003701,0b00cb01,10000,100,442696687,76,2445886660,2445886660,37127931,2445886736
0b000c01,0b00cb01,10000,100,441947869,14,2445897170,2445897170,37065149,2445897184
0b002001,0b00cb01,10000,100,442055212,36,2446515670,2446515670,37074152,2446515706
0b001401,0b00cb01,10000,100,441610566,20,2446812958,2446812958,37036871,2446812978
0b001e01,0b00cb01,10000,100,443686486,32,2447218941,2447218941,37210916,2447218973
0b000e01,0b00cb01,10000,100,442185918,16,2447288422,2447288422,37085107,2447288438
0b002901,0b00cb01,10000,100,441873128,53,2447445518,2447445518,37058886,2447445571
0b000701,0b00cb01,10000,100,442403018,11,2447493871,2447493871,37103312,2447493882
0b001d01,0b00cb01,10000,100,442444248,31,2447620257,2447620257,37106768,2447620288
0b002d01,0b00cb01,10000,100,442641479,62,2447684637,2447684637,37123303,2447684699
0b002801,0b00cb01,10000,100,441910758,46,2447721587,2447721587,37062038,2447721633
0b003401,0b00cb01,10000,100,441866045,71,2448076836,2448076836,37058292,2448076907
0b000401,0b00cb01,10000,100,442850231,9,2448492287,2448492287,37140806,2448492296
0b001501,0b00cb01,10000,100,442383141,23,2448672688,2448672688,37101645,2448672711
0b001701,0b00cb01,10000,100,443074581,25,2448764754,2448764754,37159614,2448764779
0b003c01,0b00cb01,10000,100,442727168,93,2448809584,2448809584,37130488,2448809677
0b003e01,0b00cb01,10000,100,442882945,97,2448906144,2448906144,37143546,2448906241
0b000001,0b00cb01,10000,100,442560783,3,2448941855,2448941855,37116536,2448941858
0b001301,0b00cb01,10000,100,442512341,20,2448944319,2448944319,37112477,2448944339
0b003901,0b00cb01,10000,100,442518303,86,2448987736,2448987736,37112977,2448987822
0b000801,0b00cb01,10000,100,442825002,12,2449036011,2449036011,37138692,2449036023
0b000b01,0b00cb01,10000,100,443280227,13,2449138645,2449138645,37176857,2449138658
0b001b01,0b00cb01,10000,100,441800063,28,2449279515,2449279515,37052760,2449279543
0b003f01,0b00cb01,10000,100,442922748,99,2449503609,2449503609,37146884,2449503708
0b003301,0b00cb01,10000,100,443136026,68,2450224207,2450224207,37164768,2450224275
0b001a01,0b00cb01,10000,100,442776184,28,2450778765,2450778765,37134598,2450778793
0b002301,0b00cb01,10000,100,442496649,38,2450842050,2450842050,37111160,2450842088
0b002e01,0b00cb01,10000,100,443108392,63,2450894410,2450894410,37162449,2450894473
0b002601,0b00cb01,10000,100,442572752,44,2450905129,2450905129,37117540,2450905173
0b000f01,0b00cb01,10000,100,442305901,17,2451101358,2451101358,37095167,2451101375
0b002401,0b00cb01,10000,100,442117240,39,2451193518,2451193518,37079352,2451193557
0b002501,0b00cb01,10000,100,443143842,42,2451318254,2451318254,37165420,2451318296
0b003101,0b00cb01,10000,100,442399593,66,2451361530,2451361530,37103023,2451361596
0b002101,0b00cb01,10000,100,441896576,37,2451556942,2451556942,37060850,2451556979
0b001601,0b00cb01,10000,100,442579512,24,2452103922,2452103922,37118108,2452103946
0b002701,0b00cb01,10000,100,442865639,45,2452385362,2452385362,37142096,2452385407
0b000901,0b00cb01,10000,100,444188902,13,2452431057,2452431057,37253037,2452431070
