src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000701,0b001801,10000,100,442622950,95000000,36745838,37117708,131745838
0b000501,0b001801,10000,100,442622950,286000000,87576167,37117708,373576167
0b000801,0b001801,10000,100,442622950,286000000,103625452,37117708,389625452
0b000201,0b001801,10000,100,442622950,334000000,146030077,37117708,480030077
0b000301,0b001801,10000,100,442622950,350000000,130377096,37117708,480377096
0b000601,0b001801,10000,100,442622950,403000000,166930959,37117708,569930959
0b000101,0b001801,10000,100,442622950,398000000,183074735,37117708,581074735
0b000401,0b001801,10000,100,442622950,430000000,168861744,37117708,598861744
0b000901,0b001801,10000,100,442622950,467000000,141814030,37117708,608814030
0b000001,0b001801,10000,100,442622950,515000000,106572649,37117708,621572649
