src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000501,0b001801,10000,100,442622950,45000000,58841468,37117708,103841468
0b000101,0b001801,10000,100,442622950,61000000,71756464,37117708,132756464
0b000001,0b001801,10000,100,442622950,189000000,106925926,37117708,295925926
0b000701,0b001801,10000,100,442622950,124000000,195582727,37117708,319582727
0b000601,0b001801,10000,100,442622950,138000000,190224766,37117708,328224766
0b000801,0b001801,10000,100,442622950,266000000,90525170,37117708,356525170
0b000301,0b001801,10000,100,442622950,187000000,224233207,37117708,411233207
0b000401,0b001801,10000,100,442622950,165000000,262592884,37117708,427592884
0b000901,0b001801,10000,100,442622950,350000000,81224600,37117708,431224600
0b000201,0b001801,10000,100,442622950,182000000,256372350,37117708,438372350
