src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000601,0b001801,10000,100,442622950,21000000,36745838,37117708,57745838
0b000701,0b001801,10000,100,442622950,58000000,36745838,37117708,94745838
0b000201,0b001801,10000,100,442622950,164000000,36745838,37117708,200745838
0b000401,0b001801,10000,100,442622950,207000000,149856197,37117708,356856197
0b000801,0b001801,10000,100,442622950,207000000,151434218,37117708,358434218
0b000101,0b001801,10000,100,442622950,212000000,147913951,37117708,359913951
0b000901,0b001801,10000,100,442622950,254000000,146254110,37117708,400254110
0b000501,0b001801,10000,100,442622950,302000000,126850326,37117708,428850326
0b000001,0b001801,10000,100,442622950,339000000,110430215,37117708,449430215
0b000301,0b001801,10000,100,442622950,403000000,65079332,37117708,468079332
