src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,78000000,39161832,37117708,117161832
0b000801,0b001801,10000,100,442622950,118000000,91565839,37117708,209565839
0b000101,0b001801,10000,100,442622950,137000000,173484454,37117708,310484454
0b000601,0b001801,10000,100,442622950,148000000,189370120,37117708,337370120
0b000301,0b001801,10000,100,442622950,160000000,190173077,37117708,350173077
0b000501,0b001801,10000,100,442622950,188000000,189509641,37117708,377509641
0b000701,0b001801,10000,100,442622950,211000000,180266860,37117708,391266860
0b000901,0b001801,10000,100,442622950,277000000,144826313,37117708,421826313
0b000201,0b001801,10000,100,442622950,345000000,102646725,37117708,447646725
0b000401,0b001801,10000,100,442622950,411000000,58253652,37117708,469253652
