src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000601,0b00cb01,10000,100,441988043,20,1127547070,1127547070,37068521,1127547090
0b000c01,0b00cb01,10000,100,441910758,42,1134539115,1134539115,37062038,1134539157
0b001301,0b00cb01,10000,100,441749666,66,1150192450,1150192450,37048533,1150192516
0b001101,0b00cb01,10000,100,442973506,62,1150271099,1150271099,37151140,1150271161
0b001801,0b00cb01,10000,100,442299518,75,1151491065,1151491065,37094633,1151491140
0b001c01,0b00cb01,10000,100,442251144,87,1151938438,1151938438,37090579,1151938525
0b001f01,0b00cb01,10000,100,442776184,98,1153099781,1153099781,37134598,1153099879
0b000b01,0b00cb01,10000,100,442369121,38,1155223584,1155223584,37100470,1155223622
0b001401,0b00cb01,10000,100,442751047,67,1157551929,1157551929,37132491,1157551996
0b001a01,0b00cb01,10000,100,441896576,84,1159482648,1159482648,37060850,1159482732
0b000a01,0b00cb01,10000,100,442117240,36,1164548789,1164548789,37079352,1164548825
0b001201,0b00cb01,10000,100,442429273,62,1165448757,1165448757,37105513,1165448819
0b000701,0b00cb01,10000,100,441908201,21,1167557423,1167557423,37061826,1167557444
0b000801,0b00cb01,10000,100,443416361,32,1168561827,1168561827,37188270,1168561859
0b000101,0b00cb01,10000,100,442518303,4,1169037805,1169037805,37112977,1169037809
0b000201,0b00cb01,10000,100,441800063,4,1169104047,1169104047,37052760,1169104051
0b001501,0b00cb01,10000,100,442055212,67,1169228089,1169228089,37074152,1169228156
0b000e01,0b00cb01,10000,100,443686486,45,1169684450,1169684450,37210916,1169684495
0b000f01,0b00cb01,10000,100,442572752,47,1170285529,1170285529,37117540,1170285576
0b001001,0b00cb01,10000,100,441813827,50,1170408685,1170408685,37053911,1170408735
0b000301,0b00cb01,10000,100,442496649,8,1170936151,1170936151,37111160,1170936159
0b001601,0b00cb01,10000,100,442579512,69,1170968504,1170968504,37118108,1170968573
0b000001,0b00cb01,10000,100,442825002,3,1171937184,1171937184,37138692,1171937187
0b001e01,0b00cb01,10000,100,442727168,98,1172567010,1172567010,37130488,1172567108
0b001701,0b00cb01,10000,100,441610566,73,1172618544,1172618544,37036871,1172618617
0b001d01,0b00cb01,10000,100,442791930,97,1173264974,1173264974,37135915,1173265071
0b000401,0b00cb01,10000,100,442850231,8,1173518901,1173518901,37140806,1173518909
0b000d01,0b00cb01,10000,100,443143842,45,1174382218,1174382218,37165420,1174382263
0b001b01,0b00cb01,10000,100,442444248,87,1174534587,1174534587,37106768,1174534674
0b000901,0b00cb01,10000,100,443033490,34,1175147799,1175147799,37156169,1175147833
0b001901,0b00cb01,10000,100,442448053,84,1175294294,1175294294,37107088,1175294378
0b000501,0b00cb01,10000,100,444188902,18,1176142776,1176142776,37253037,1176142794
