src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,123000000,40615316,37117708,163615316
0b000101,0b001801,10000,100,442622950,156000000,166005659,37117708,322005659
0b000401,0b001801,10000,100,442622950,171000000,155142878,37117708,326142878
0b000601,0b001801,10000,100,442622950,165000000,171291737,37117708,336291737
0b000701,0b001801,10000,100,442622950,227000000,210439479,37117708,437439479
0b000801,0b001801,10000,100,442622950,248000000,204791669,37117708,452791669
0b000901,0b001801,10000,100,442622950,280000000,199444199,37117708,479444199
0b000301,0b001801,10000,100,442622950,278000000,208790133,37117708,486790133
0b000001,0b001801,10000,100,442622950,271000000,216109042,37117708,487109042
0b000501,0b001801,10000,100,442622950,340000000,165344414,37117708,505344414
