src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,13000000,193942008,37117708,206942008
0b000001,0b001801,10000,100,442622950,25000000,261996308,37117708,286996308
0b000401,0b001801,10000,100,442622950,23000000,280056654,37117708,303056654
0b000601,0b001801,10000,100,442622950,33000000,277500052,37117708,310500052
0b000501,0b001801,10000,100,442622950,35000000,292327001,37117708,327327001
0b000301,0b001801,10000,100,442622950,70000000,289958375,37117708,359958375
0b000801,0b001801,10000,100,442622950,75000000,289322300,37117708,364322300
0b000201,0b001801,10000,100,442622950,130000000,246940575,37117708,376940575
0b000701,0b001801,10000,100,442622950,152000000,230179647,37117708,382179647
0b000901,0b001801,10000,100,442622950,168000000,217763172,37117708,385763172
