src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000701,0b001801,10000,100,442622950,2000000,68331210,37117708,70331210
0b000201,0b001801,10000,100,442622950,12000000,99226674,37117708,111226674
0b000801,0b001801,10000,100,442622950,59000000,231326083,37117708,290326083
0b000101,0b001801,10000,100,442622950,80000000,266477868,37117708,346477868
0b000001,0b001801,10000,100,442622950,85000000,263943144,37117708,348943144
0b000601,0b001801,10000,100,442622950,89000000,266584964,37117708,355584964
0b000901,0b001801,10000,100,442622950,84000000,275416858,37117708,359416858
0b000401,0b001801,10000,100,442622950,113000000,247045745,37117708,360045745
0b000301,0b001801,10000,100,442622950,137000000,233640941,37117708,370640941
0b000501,0b001801,10000,100,442622950,159000000,216293940,37117708,375293940
