src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000401,0b001801,10000,100,442622950,68000000,103841083,37117708,171841083
0b000001,0b001801,10000,100,442622950,90000000,170150135,37117708,260150135
0b000901,0b001801,10000,100,442622950,249000000,121993825,37117708,370993825
0b000601,0b001801,10000,100,442622950,191000000,203067626,37117708,394067626
0b000201,0b001801,10000,100,442622950,86000000,327787009,37117708,413787009
0b000801,0b001801,10000,100,442622950,131000000,290847228,37117708,421847228
0b000701,0b001801,10000,100,442622950,230000000,196348348,37117708,426348348
0b000101,0b001801,10000,100,442622950,347000000,94040983,37117708,441040983
0b000501,0b001801,10000,100,442622950,175000000,269429167,37117708,444429167
0b000301,0b001801,10000,100,442622950,162000000,302706441,37117708,464706441
