src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,26000000,36745838,37117708,62745838
0b000901,0b001801,10000,100,442622950,103000000,56536468,37117708,159536468
0b000301,0b001801,10000,100,442622950,127000000,186599331,37117708,313599331
0b000001,0b001801,10000,100,442622950,145000000,197859647,37117708,342859647
0b000601,0b001801,10000,100,442622950,167000000,217050314,37117708,384050314
0b000501,0b001801,10000,100,442622950,229000000,171897901,37117708,400897901
0b000401,0b001801,10000,100,442622950,197000000,205480394,37117708,402480394
0b000801,0b001801,10000,100,442622950,314000000,98091597,37117708,412091597
0b000701,0b001801,10000,100,442622950,305000000,147020283,37117708,452020283
0b000201,0b001801,10000,100,442622950,291000000,194984415,37117708,485984415
