src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000801,0b001801,10000,100,442622950,18000000,58814772,37117708,76814772
0b000001,0b001801,10000,100,442622950,41000000,168766738,37117708,209766738
0b000701,0b001801,10000,100,442622950,50000000,188401054,37117708,238401054
0b000601,0b001801,10000,100,442622950,85000000,257632044,37117708,342632044
0b000501,0b001801,10000,100,442622950,94000000,262464078,37117708,356464078
0b000301,0b001801,10000,100,442622950,92000000,264586706,37117708,356586706
0b000901,0b001801,10000,100,442622950,127000000,246545908,37117708,373545908
0b000201,0b001801,10000,100,442622950,144000000,242915505,37117708,386915505
0b000101,0b001801,10000,100,442622950,157000000,232525089,37117708,389525089
0b000401,0b001801,10000,100,442622950,156000000,234235190,37117708,390235190
