state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil,runtimeS
1,fat,100,10,dcqcn,0,-1,-1.0,370067177,360892671.8,370067177,-1,-1,283.97
1,fat,100,10,dcqcn,1,3,0.5,317581542,309186997.1,370938331,-1,-1,275.86
1,fat,100,10,dcqcn,1,3,0.7,205786574,187538771.6,369786574,-1,-1,270.97
1,fat,100,10,dcqcn,1,3,1.0,279721368,230668241.8,369525927,-1,-1,283.51
1,fat,101,10,hp,0,-1,-1.0,371373487,362928617.7,371373487,-1,-1,274.77
1,fat,100,10,hp,1,3,0.2,350009979,333511475.6,373186382,-1,-1,386.0
1,fat,100,10,hp,1,3,0.3,309512035,276543352.1,370566005,-1,-1,367.03
1,fat,100,10,hp,1,3,0.4,280360224,257122826.7,374360224,-1,-1,364.61
1,fat,100,10,hp,1,3,0.5,311116214,261066290.1,377113476,-1,-1,292.22
1,fat,100,10,hp,1,3,0.55,312568738,282096596.6,378440339,-1,-1,290.54
1,fat,100,10,hp,1,3,0.6,294461897,242269005.8,407799561,-1,-1,275.42
1,fat,100,10,hp,1,3,0.65,291582480,261637824.4,376535266,-1,-1,304.25
1,fat,101,10,hp,1,3,0.7,250339292,204266454.2,373723378,-1,-1,293.29
1,fat,100,10,hp,1,3,0.8,215904285,173718848.8,393201959,-1,-1,327.64
1,fat,101,10,hp,1,3,1.0,193862134,138854711.7,429862134,-1,-1,287.15
1,fat,102,10,dctcp,0,-1,-1.0,377946192,369920131.2,377946192,-1,-1,288.67
1,fat,100,10,dctcp,1,3,0.1,378222309,337160029.1,378222309,-1,-1,298.88
1,fat,100,10,dctcp,1,3,0.2,375910713,331311975.2,375910713,-1,-1,299.83
1,fat,100,10,dctcp,1,3,0.3,404703020,327345105.9,404703020,-1,-1,316.21
1,fat,100,10,dctcp,1,3,0.5,326284609,245546205.5,385284609,-1,-1,265.32
1,fat,100,10,dctcp,1,3,0.525,310922205,282478847.4,385288521,-1,-1,313.85
1,fat,100,10,dctcp,1,3,0.55,329262080,302315175.8,381682109,-1,-1,317.21
1,fat,100,10,dctcp,1,3,0.575,334430655,279109497.6,382197513,-1,-1,281.92
1,fat,100,10,dctcp,1,3,0.6,259764167,218020642.1,386469812,-1,-1,299.13
1,fat,100,10,dctcp,1,3,0.65,306629820,276104774.8,376198500,-1,-1,286.13
1,fat,102,10,dctcp,1,3,0.7,301609731,265503403.1,382497621,-1,-1,292.86
1,fat,102,10,dctcp,1,3,1.0,179607150,163928769.7,398585567,-1,-1,304.69
1,fat,103,10,timely,0,-1,-1.0,371408530,366642686.2,371408530,-1,-1,317.67
1,fat,100,10,timely,1,3,0.1,359561706,348878211.7,371561706,-1,-1,279.69
1,fat,100,10,timely,1,3,0.2,340991290,320693456.4,372210923,-1,-1,290.6
1,fat,100,10,timely,1,3,0.225,345408219,330681409.2,371408219,-1,-1,282.96
1,fat,100,10,timely,1,3,0.25,325428777,311110969.9,372150575,-1,-1,297.32
1,fat,100,10,timely,1,3,0.275,340208007,326094097.4,371249900,-1,-1,267.70
1,fat,100,10,timely,1,3,0.3,322448023,297578946.1,371940252,-1,-1,295.57
1,fat,100,10,timely,1,3,0.5,275948678,245910111.1,393948678,-1,-1,303.34
1,fat,100,10,timely,1,3,0.6,231662764,189074719.1,372662764,-1,-1,304.52
1,fat,103,10,timely,1,3,0.7,258288305,224734366.9,372824737,-1,-1,292.91
1,fat,103,10,timely,1,3,1.0,186827522,140765661.9,422827522,-1,-1,270.72
1,fat,104,10,hpccPint,0,-1,-1.0,390552587,389836985.9,390552587,-1,-1,291.73
1,fat,100,10,hpccPint,1,3,0.3,320394037,299991399.5,390394037,-1,-1,308.05
1,fat,100,10,hpccPint,1,3,0.5,293597605,260871041.4,390338401,-1,-1,300.51
1,fat,100,10,hpccPint,1,3,0.6,338323363,321049113.5,390501232,-1,-1,288.12
1,fat,104,10,hpccPint,1,3,0.7,274326514,243325177.9,390304576,-1,-1,274.08
1,fat,104,10,hpccPint,1,3,1.0,195131122,147681393.7,431131122,-1,-1,282.12
