src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,0,72434877,37117708,72434877
0b000101,0b001801,10000,100,442622950,5000000,70350768,37117708,75350768
0b000401,0b001801,10000,100,442622950,122000000,36745838,37117708,158745838
0b000301,0b001801,10000,100,442622950,276000000,36745838,37117708,312745838
0b000701,0b001801,10000,100,442622950,313000000,69981252,37117708,382981252
0b000601,0b001801,10000,100,442622950,323000000,65515758,37117708,388515758
0b000901,0b001801,10000,100,442622950,403000000,87156553,37117708,490156553
0b000501,0b001801,10000,100,442622950,414000000,96702083,37117708,510702083
0b000801,0b001801,10000,100,442622950,424000000,92060180,37117708,516060180
0b000201,0b001801,10000,100,442622950,520000000,36745838,37117708,556745838
