src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000901,0b001801,10000,100,442622950,28000000,39161832,37117708,67161832
0b000801,0b001801,10000,100,442622950,76000000,39151879,37117708,115151879
0b000f01,0b001801,10000,100,442622950,254000000,81415053,37117708,335415053
0b000b01,0b001801,10000,100,442622950,275000000,155749922,37117708,430749922
0b000201,0b001801,10000,100,442622950,289000000,198223330,37117708,487223330
0b000a01,0b001801,10000,100,442622950,294000000,201480958,37117708,495480958
0b000c01,0b001801,10000,100,442622950,353000000,302840513,37117708,655840513
0b000d01,0b001801,10000,100,442622950,387000000,339831790,37117708,726831790
0b000401,0b001801,10000,100,442622950,385000000,342268163,37117708,727268163
0b000701,0b001801,10000,100,442622950,415000000,344849780,37117708,759849780
0b000001,0b001801,10000,100,442622950,418000000,345101947,37117708,763101947
0b000301,0b001801,10000,100,442622950,461000000,332181497,37117708,793181497
0b000501,0b001801,10000,100,442622950,466000000,327312313,37117708,793312313
0b000601,0b001801,10000,100,442622950,471000000,324239270,37117708,795239270
0b000101,0b001801,10000,100,442622950,484000000,314363144,37117708,798363144
0b000e01,0b001801,10000,100,442622950,508000000,292661601,37117708,800661601
