src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b002b01,0b00cb01,10000,100,442572752,71,2317540327,2317540327,37117540,2317540398
0b001f01,0b00cb01,10000,100,441988043,52,2324940550,2324940550,37068521,2324940602
0b002a01,0b00cb01,10000,100,442251144,71,2327908294,2327908294,37090579,2327908365
0b003b01,0b00cb01,10000,100,442751047,96,2327968451,2327968451,37132491,2327968547
0b003201,0b00cb01,10000,100,442817923,83,2329507610,2329507610,37138094,2329507693
0b003501,0b00cb01,10000,100,442510405,86,2329547317,2329547317,37112314,2329547403
0b003301,0b00cb01,10000,100,442185918,84,2330082829,2330082829,37085107,2330082913
0b003c01,0b00cb01,10000,100,442086526,97,2331214151,2331214151,37076776,2331214248
0b000701,0b00cb01,10000,100,442518303,10,2333736968,2333736968,37112977,2333736978
0b002901,0b00cb01,10000,100,442413823,71,2334574778,2334574778,37104215,2334574849
0b003f01,0b00cb01,10000,100,442973506,99,2334649245,2334649245,37151140,2334649344
0b000d01,0b00cb01,10000,100,443065239,23,2335391861,2335391861,37158832,2335391884
0b000301,0b00cb01,10000,100,443214934,4,2337163510,2337163510,37171380,2337163514
0b001c01,0b00cb01,10000,100,441896576,49,2337761778,2337761778,37060850,2337761827
0b003601,0b00cb01,10000,100,442448053,86,2339411291,2339411291,37107088,2339411377
0b001501,0b00cb01,10000,100,441610566,36,2341235896,2341235896,37036871,2341235932
0b002301,0b00cb01,10000,100,441910758,60,2342009081,2342009081,37062038,2342009141
0b000801,0b00cb01,10000,100,442850231,11,2342265041,2342265041,37140806,2342265052
0b001e01,0b00cb01,10000,100,441908201,51,2342410602,2342410602,37061826,2342410653
0b001701,0b00cb01,10000,100,441800063,44,2342452698,2342452698,37052760,2342452742
0b003701,0b00cb01,10000,100,444188902,87,2342565527,2342565527,37253037,2342565614
0b000f01,0b00cb01,10000,100,443136026,24,2342604107,2342604107,37164768,2342604131
0b001d01,0b00cb01,10000,100,442403018,51,2343271156,2343271156,37103312,2343271207
0b003d01,0b00cb01,10000,100,441873128,98,2343459616,2343459616,37058886,2343459714
0b001101,0b00cb01,10000,100,442922748,28,2344212144,2344212144,37146884,2344212172
0b003e01,0b00cb01,10000,100,443108392,98,2344351466,2344351466,37162449,2344351564
0b000201,0b00cb01,10000,100,443686486,3,2344381815,2344381815,37210916,2344381818
0b002401,0b00cb01,10000,100,442270374,63,2344491846,2344491846,37092190,2344491909
0b002001,0b00cb01,10000,100,442383141,54,2345224428,2345224428,37101645,2345224482
0b000501,0b00cb01,10000,100,442369121,7,2345380279,2345380279,37100470,2345380286
0b002e01,0b00cb01,10000,100,442570820,77,2345619816,2345619816,37117378,2345619893
0b002501,0b00cb01,10000,100,442117240,63,2346118517,2346118517,37079352,2346118580
0b001901,0b00cb01,10000,100,442512341,47,2346158155,2346158155,37112477,2346158202
0b003401,0b00cb01,10000,100,442776184,85,2346379330,2346379330,37134598,2346379415
0b000a01,0b00cb01,10000,100,441813827,18,2346963039,2346963039,37053911,2346963057
0b000001,0b00cb01,10000,100,442882945,2,2347009116,2347009116,37143546,2347009118
0b002801,0b00cb01,10000,100,442399593,68,2347026780,2347026780,37103023,2347026848
0b003801,0b00cb01,10000,100,442825002,90,2347099636,2347099636,37138692,2347099726
0b001601,0b00cb01,10000,100,442560783,38,2347244920,2347244920,37116536,2347244958
0b001801,0b00cb01,10000,100,442305901,47,2347250132,2347250132,37095167,2347250179
0b001001,0b00cb01,10000,100,441749666,27,2347452952,2347452952,37048533,2347452979
0b000c01,0b00cb01,10000,100,443143842,19,2347492126,2347492126,37165420,2347492145
0b000101,0b00cb01,10000,100,441866045,3,2347537706,2347537706,37058292,2347537709
0b000601,0b00cb01,10000,100,442696687,8,2347792322,2347792322,37127931,2347792330
0b001b01,0b00cb01,10000,100,442496649,48,2347798274,2347798274,37111160,2347798322
0b002c01,0b00cb01,10000,100,442727168,73,2347971919,2347971919,37130488,2347971992
0b003a01,0b00cb01,10000,100,442591048,94,2348303260,2348303260,37119077,2348303354
0b002d01,0b00cb01,10000,100,442438326,75,2348387221,2348387221,37106271,2348387296
0b002101,0b00cb01,10000,100,441947869,56,2348762894,2348762894,37065149,2348762950
0b003101,0b00cb01,10000,100,442429273,79,2349173837,2349173837,37105513,2349173916
0b001401,0b00cb01,10000,100,443416361,35,2349207789,2349207789,37188270,2349207824
0b002601,0b00cb01,10000,100,442865639,66,2349530206,2349530206,37142096,2349530272
0b003901,0b00cb01,10000,100,442791930,90,2349549108,2349549108,37135915,2349549198
0b003001,0b00cb01,10000,100,442055212,78,2350287122,2350287122,37074152,2350287200
0b001a01,0b00cb01,10000,100,442299518,47,2350586293,2350586293,37094633,2350586340
0b000901,0b00cb01,10000,100,442641479,14,2351141521,2351141521,37123303,2351141535
0b000401,0b00cb01,10000,100,442487955,5,2351419102,2351419102,37110430,2351419107
0b000e01,0b00cb01,10000,100,442543046,24,2351724772,2351724772,37115052,2351724796
0b002f01,0b00cb01,10000,100,442444248,78,2351843975,2351843975,37106768,2351844053
0b001301,0b00cb01,10000,100,442945507,33,2352101261,2352101261,37148793,2352101294
0b000b01,0b00cb01,10000,100,443033490,19,2352183148,2352183148,37156169,2352183167
0b002701,0b00cb01,10000,100,443280227,67,2352851078,2352851078,37176857,2352851145
0b002201,0b00cb01,10000,100,442579512,57,2353284133,2353284133,37118108,2353284190
0b001201,0b00cb01,10000,100,443074581,30,2353299854,2353299854,37159614,2353299884
