src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000601,0b001801,10000,100,442622950,101000000,152706457,37117708,253706457
0b000701,0b001801,10000,100,442622950,164000000,137586393,37117708,301586393
0b000901,0b001801,10000,100,442622950,117000000,211706563,37117708,328706563
0b000401,0b001801,10000,100,442622950,139000000,216915593,37117708,355915593
0b000301,0b001801,10000,100,442622950,284000000,170747632,37117708,454747632
0b000001,0b001801,10000,100,442622950,343000000,113071454,37117708,456071454
0b000101,0b001801,10000,100,442622950,116000000,342808650,37117708,458808650
0b000201,0b001801,10000,100,442622950,260000000,210911154,37117708,470911154
0b000801,0b001801,10000,100,442622950,320000000,162823280,37117708,482823280
0b000501,0b001801,10000,100,442622950,248000000,262442164,37117708,510442164
