src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),offseted_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b00cb01,10000,100,442251144,6,496865736,496865736,37090579,496865742
0b000301,0b00cb01,10000,100,443033490,13,505709588,540709588,37156169,505709601
0b001a01,0b00cb01,10000,100,442429273,35000080,942790223,1118790223,37105513,977790303
0b001d01,0b00cb01,10000,100,444188902,35000085,947420946,1158420946,37253037,982421031
0b000b01,0b00cb01,10000,100,441910758,35000025,982544346,1052544346,37062038,1017544371
0b000201,0b00cb01,10000,100,442117240,35000011,991309598,1026309598,37079352,1026309609
0b001c01,0b00cb01,10000,100,442055212,35000081,996259419,1207259419,37074152,1031259500
0b001f01,0b00cb01,10000,100,442496649,35000094,1009052251,1220052251,37111160,1044052345
0b001001,0b00cb01,10000,100,442579512,70000048,1035816625,1140816625,37118108,1105816673
0b001301,0b00cb01,10000,100,442973506,70000057,1038427259,1143427259,37151140,1108427316
0b001701,0b00cb01,10000,100,442369121,70000065,1040361745,1181361745,37100470,1110361810
0b001601,0b00cb01,10000,100,442825002,70000063,1042243361,1183243361,37138692,1112243424
0b000c01,0b00cb01,10000,100,443143842,70000031,1048758797,1118758797,37165420,1118758828
0b000501,0b00cb01,10000,100,443416361,70000015,1048851390,1083851390,37188270,1118851405
0b001101,0b00cb01,10000,100,442299518,70000054,1050634153,1155634153,37094633,1120634207
0b001901,0b00cb01,10000,100,442444248,105000074,1033310417,1209310417,37106768,1138310491
0b000d01,0b00cb01,10000,100,442791930,105000037,1034751993,1104751993,37135915,1139752030
0b001501,0b00cb01,10000,100,441800063,105000062,1039844109,1180844109,37052760,1144844171
0b001e01,0b00cb01,10000,100,441749666,70000092,1076968189,1287968189,37048533,1146968281
0b000f01,0b00cb01,10000,100,443686486,105000044,1043944011,1113944011,37210916,1148944055
0b001b01,0b00cb01,10000,100,442751047,141000080,1012652157,1188652157,37132491,1153652237
0b000401,0b00cb01,10000,100,441896576,176000014,990744793,1025744793,37060850,1166744807
0b000001,0b00cb01,10000,100,442727168,141000003,1025770385,1025770385,37130488,1166770388
0b000601,0b00cb01,10000,100,441813827,176000016,994611110,1029611110,37053911,1170611126
0b000e01,0b00cb01,10000,100,442448053,141000039,1029956148,1099956148,37107088,1170956187
0b000901,0b00cb01,10000,100,442850231,141000024,1030448126,1100448126,37140806,1171448150
0b001801,0b00cb01,10000,100,441988043,176000066,995684268,1171684268,37068521,1171684334
0b001401,0b00cb01,10000,100,442776184,211000058,961257576,1102257576,37134598,1172257634
0b000a01,0b00cb01,10000,100,441908201,211000025,963403476,1033403476,37061826,1174403501
0b000701,0b00cb01,10000,100,442572752,176000018,1000270485,1035270485,37117540,1176270503
0b000801,0b00cb01,10000,100,442518303,211000019,966751107,1036751107,37112977,1177751126
0b001201,0b00cb01,10000,100,441610566,211000055,967856064,1072856064,37036871,1178856119
