src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000801,0b001801,10000,100,442622950,6000000,78844273,37117708,84844273
0b000401,0b001801,10000,100,442622950,29000000,201079648,37117708,230079648
0b000501,0b001801,10000,100,442622950,40000000,230728592,37117708,270728592
0b000301,0b001801,10000,100,442622950,42000000,230944062,37117708,272944062
0b000901,0b001801,10000,100,442622950,101000000,265798380,37117708,366798380
0b000601,0b001801,10000,100,442622950,112000000,269160252,37117708,381160252
0b000101,0b001801,10000,100,442622950,118000000,266098526,37117708,384098526
0b000001,0b001801,10000,100,442622950,124000000,262488573,37117708,386488573
0b000201,0b001801,10000,100,442622950,157000000,238798363,37117708,395798363
0b000701,0b001801,10000,100,442622950,159000000,237433085,37117708,396433085
