src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,5000000,36745838,37117708,41745838
0b000101,0b001801,10000,100,442622950,53000000,36745838,37117708,89745838
0b000801,0b001801,10000,100,442622950,249000000,42015921,37117708,291015921
0b000401,0b001801,10000,100,442622950,281000000,59179930,37117708,340179930
0b000701,0b001801,10000,100,442622950,339000000,124822180,37117708,463822180
0b000901,0b001801,10000,100,442622950,318000000,153843293,37117708,471843293
0b000201,0b001801,10000,100,442622950,334000000,156060631,37117708,490060631
0b000501,0b001801,10000,100,442622950,366000000,156244987,37117708,522244987
0b000601,0b001801,10000,100,442622950,435000000,111628128,37117708,546628128
0b000301,0b001801,10000,100,442622950,477000000,77382945,37117708,554382945
