src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000001,0b001801,10000,100,442622950,164000000,42226491,37117708,206226491
0b000701,0b001801,10000,100,442622950,196000000,46876954,37117708,242876954
0b000201,0b001801,10000,100,442622950,233000000,48100392,37117708,281100392
0b000401,0b001801,10000,100,442622950,292000000,71324968,37117708,363324968
0b000501,0b001801,10000,100,442622950,297000000,70705773,37117708,367705773
0b000301,0b001801,10000,100,442622950,387000000,53626270,37117708,440626270
0b000601,0b001801,10000,100,442622950,408000000,67537424,37117708,475537424
0b000801,0b001801,10000,100,442622950,446000000,85542165,37117708,531542165
0b000901,0b001801,10000,100,442622950,477000000,84220226,37117708,561220226
0b000101,0b001801,10000,100,442622950,509000000,67503437,37117708,576503437
