src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000201,0b001801,10000,100,442622950,13000000,100503243,37117708,113503243
0b000901,0b001801,10000,100,442622950,18000000,107177860,37117708,125177860
0b000401,0b001801,10000,100,442622950,55000000,136695560,37117708,191695560
0b000001,0b001801,10000,100,442622950,87000000,140190137,37117708,227190137
0b000301,0b001801,10000,100,442622950,104000000,139232913,37117708,243232913
0b000601,0b001801,10000,100,442622950,148000000,147992185,37117708,295992185
0b000101,0b001801,10000,100,442622950,231000000,107329404,37117708,338329404
0b000801,0b001801,10000,100,442622950,207000000,145801973,37117708,352801973
0b000701,0b001801,10000,100,442622950,220000000,142170691,37117708,362170691
0b000501,0b001801,10000,100,442622950,329000000,65608698,37117708,394608698
