src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,33000000,115379470,37117708,148379470
0b000401,0b001801,10000,100,442622950,60000000,197572633,37117708,257572633
0b000001,0b001801,10000,100,442622950,44000000,230738449,37117708,274738449
0b000701,0b001801,10000,100,442622950,159000000,118456625,37117708,277456625
0b000301,0b001801,10000,100,442622950,139000000,167046399,37117708,306046399
0b000601,0b001801,10000,100,442622950,98000000,212758139,37117708,310758139
0b000501,0b001801,10000,100,442622950,125000000,219871675,37117708,344871675
0b000801,0b001801,10000,100,442622950,266000000,79862786,37117708,345862786
0b000901,0b001801,10000,100,442622950,344000000,57070736,37117708,401070736
0b000201,0b001801,10000,100,442622950,329000000,113463383,37117708,442463383
