src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,3000000,108601881,37117708,111601881
0b000401,0b001801,10000,100,442622950,35000000,199100463,37117708,234100463
0b000901,0b001801,10000,100,442622950,23000000,216058256,37117708,239058256
0b000801,0b001801,10000,100,442622950,29000000,217233287,37117708,246233287
0b000201,0b001801,10000,100,442622950,67000000,189608207,37117708,256608207
0b000601,0b001801,10000,100,442622950,60000000,203556454,37117708,263556454
0b000501,0b001801,10000,100,442622950,96000000,169081526,37117708,265081526
0b000701,0b001801,10000,100,442622950,289000000,68337417,37117708,357337417
0b000301,0b001801,10000,100,442622950,306000000,87261509,37117708,393261509
0b000001,0b001801,10000,100,442622950,328000000,78724785,37117708,406724785
