src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000401,0b001801,10000,100,442622950,5000000,36745838,37117708,41745838
0b000101,0b001801,10000,100,442622950,100000000,52077333,37117708,152077333
0b000701,0b001801,10000,100,442622950,122000000,77704037,37117708,199704037
0b000201,0b001801,10000,100,442622950,153000000,77276943,37117708,230276943
0b000501,0b001801,10000,100,442622950,196000000,53940903,37117708,249940903
0b000001,0b001801,10000,100,442622950,286000000,36745838,37117708,322745838
0b000901,0b001801,10000,100,442622950,334000000,47247405,37117708,381247405
0b000601,0b001801,10000,100,442622950,361000000,49219389,37117708,410219389
0b000801,0b001801,10000,100,442622950,488000000,53770009,37117708,541770009
0b000301,0b001801,10000,100,442622950,509000000,54995064,37117708,563995064
