src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000501,0b001801,10000,100,442622950,100000000,98185638,37117708,198185638
0b000901,0b001801,10000,100,442622950,106000000,100653761,37117708,206653761
0b000401,0b001801,10000,100,442622950,138000000,144230832,37117708,282230832
0b000701,0b001801,10000,100,442622950,169000000,114715298,37117708,283715298
0b000001,0b001801,10000,100,442622950,217000000,166605085,37117708,383605085
0b000201,0b001801,10000,100,442622950,233000000,159914400,37117708,392914400
0b000801,0b001801,10000,100,442622950,286000000,125507424,37117708,411507424
0b000301,0b001801,10000,100,442622950,281000000,141215338,37117708,422215338
0b000101,0b001801,10000,100,442622950,345000000,112095735,37117708,457095735
0b000601,0b001801,10000,100,442622950,440000000,52390826,37117708,492390826
