src_ip,dst_ip,sport,dport,m_size(bytes),start(ns),complete_fct(ns),standalone_fct(ns),end(ns)
0b000101,0b001801,10000,100,442622950,24000000,146359102,37117708,170359102
0b000701,0b001801,10000,100,442622950,31000000,191008233,37117708,222008233
0b000301,0b001801,10000,100,442622950,56000000,249739265,37117708,305739265
0b000601,0b001801,10000,100,442622950,70000000,272167789,37117708,342167789
0b000401,0b001801,10000,100,442622950,81000000,292438122,37117708,373438122
0b000901,0b001801,10000,100,442622950,103000000,274175266,37117708,377175266
0b000501,0b001801,10000,100,442622950,95000000,288252573,37117708,383252573
0b000801,0b001801,10000,100,442622950,117000000,271484235,37117708,388484235
0b000001,0b001801,10000,100,442622950,132000000,260223305,37117708,392223305
0b000201,0b001801,10000,100,442622950,162000000,234998634,37117708,396998634
